,CAND_ID,numdonat
0,H0GA09170,1
1,H0IA04145,45
2,H0MN05210,51
3,H0NH02181,212
4,H0VA03124,4
5,H4NY11138,9
6,S0FL00338,65
7,S0KS00232,32
8,H0AL05163,7
9,H0CA25220,1
10,H0NV03116,15
11,H0NY17190,2
12,H0PA01309,15
13,H0TX32079,13
14,H6TX15162,39
15,H8CA34068,19
16,H8VA01147,3
17,P00013433,1
18,H0NC03172,18
19,H0NM02229,43
20,H0NV03132,35
21,H2OH17109,174
22,H2TX31044,319
23,H6PR00082,52
24,H8NJ05136,1
25,H8VA11070,8
26,S0MT00173,4153
27,H0CA03078,593
28,H0CT02199,4
29,H0NY01202,5
30,H0TX13228,14
31,H2TN07103,68
32,H8CA41170,72
33,H8NJ02166,22
34,S4SD00049,138
35,H0MN04049,31
36,H8CA12098,197
37,H0GA07265,5
38,H0NY05070,1
39,H0OR02127,2
40,H0TX17195,1
41,H2CA20094,112
42,H2CA33048,26
43,H8TX02166,6080
44,S0ID00180,36
45,S2TN00058,16
46,H0CA10073,28
47,H0CA31129,2
48,H0GA07208,19
49,H0KS03244,10
50,H4CA11081,307
51,H8NY27176,7
52,S2VA00142,18
53,S6PA00217,18
54,S8ID00027,20
55,H0CA18068,1
56,H0MI03282,30
57,H0WI03142,2
58,H6FL07140,26
59,H0IN08213,2
60,H0NY17208,3
61,H0SC05056,22
62,H0TX13137,3
63,H2NV04045,1
64,S4LA00107,241
65,S8NJ00483,1
66,H0DC00058,14
67,H0NJ05174,14
68,H4NY04075,70
69,H8AL02171,11
70,H8CT05245,117
71,H8NY07046,19
72,S0KY00156,45
73,H0FL02086,2
74,H0FL03159,2
75,H0MN03124,5
76,H0VA11127,5
77,H4PA21069,1
78,H8MI08102,328
79,H8PA10147,8
80,H0IN05326,12
81,H0NY16143,7
82,H0WI01120,7
83,H2CA15094,706
84,H8MA08170,4
85,P00006486,4505
86,H0MD01216,2
87,H0TX01108,17
88,H0VA05160,11
89,H4TX10093,217
90,H6LA04138,46
91,H8NM01331,131
92,H8TX32098,438
93,S4IA00129,3379
94,H0NC09187,140
95,H0OH12179,57
96,H2NY06116,49
97,H4NJ12149,16
98,H6CA44145,6
99,H8IL09190,9
100,H8SC04250,8
101,S0TN00144,53
102,S8WV00119,233
103,H0FL04157,1
104,H0FL19080,55
105,H0FL23108,3
106,H2AZ09035,32
107,H2UT04023,3
108,H4NY24073,47
109,H8PA18199,160
110,H8VA05114,81
111,P00012039,25
112,P60017852,12
113,S8TX00459,104
114,H8IN05188,1
115,P00010298,14386
116,P00014209,4
117,S2ND00099,27
118,S6CA00584,14
119,H0CA16120,2
120,H0VA10160,8
121,H0WV03151,1
122,H6CA05195,25
123,S0AL00156,8485
124,S4PA00121,107
125,H0OH04093,309
126,H0UT01171,3
127,H6CA44103,221
128,H8KS03155,176
129,H8MD01094,100
130,H8NY19058,112
131,H0CA22094,2
132,H0CA43108,2830
133,H0CA53131,4
134,H0KY06104,71
135,H0OK05262,2
136,H6FL02208,3
137,H8CA29100,1
138,H8IL14083,44
139,H8TN06094,1
140,H0FL22050,1
141,H0OR02168,118
142,H0WA08103,2
143,H6CA46116,15
144,H6OH08315,13
145,H8TX21307,536
146,S6OR00110,50
147,H0FL17068,2
148,H0IL14163,63
149,H8CA45130,8270
150,H8TX06035,113
151,S0CO00567,7
152,S8MS00196,9
153,H0IA01174,264
154,H0TX24191,8
155,H4TX24094,19
156,H6NY22098,11
157,H8CA22139,1
158,H8WI01156,179
159,S0KY00339,8467
160,S0TX00233,108
161,S8ID00092,106
162,H0VA04064,2
163,H4PA13199,29
164,H8IL16153,1
165,H8TX07140,356
166,H8TX22313,462
167,P00012567,6
168,S8MI00281,5
169,H0FL21078,13
170,H4GA12051,8
171,H4IN01012,10
172,H4NY21079,568
173,H6FL18097,131
174,H6VT00160,6
175,S2WA00189,25
176,H0NY24063,56
177,H0TX21148,1227
178,H2IL02172,17
179,H4NC06052,2
180,H6GA04129,11
181,H6PA02171,18
182,H8OH05036,81
183,H8TX16109,165
184,H8VA06104,5
185,S0KS00240,20
186,S0TN00169,205
187,S2MA00170,53
188,S6ID00104,1
189,S6MT00162,26
190,H0TX02080,8
191,H0WA08046,38
192,H8CA08120,7
193,H8TX25159,31
194,H0MN02134,20
195,H0NC02109,1
196,H4IL12060,24
197,H6CA24303,13
198,H8CA10209,32
199,H8MN03077,1
200,S6MN00267,4
201,H0FL19122,5
202,H0IN03230,1
203,H0KS01198,3
204,H0TX06099,21
205,H6MD03292,93
206,H6MI01226,18
207,H6PA08277,92
208,S6AZ00258,1
209,H0CA08127,1
210,H0MI08141,15
211,H0NY02192,141
212,H0TN07255,3
213,H6NE03115,18
214,H0GA07323,8
215,H0NC11233,54
216,H0WI05113,3
217,H8ND00096,11
218,H8NY02104,1
219,S6WY00068,36
220,S8ND00120,2
221,H0OH01081,23
222,H4IA03115,385
223,H8FL06122,32
224,H8MA02041,44
225,H8NY24090,67
226,H0IL15129,22
227,H0MD07106,14
228,H8MN01279,78
229,H0FL26036,7
230,H0NC07124,1
231,H0TN01134,1
232,H2CA43245,63
233,H4WI06048,3
234,H8CA39240,828
235,H0GA12059,1
236,H0IL17083,117
237,H0IN01168,2
238,H0NJ07279,13
239,H0NY27108,13
240,H0PA08221,55
241,H2TX03126,6
242,H4GA01039,17
243,H6WA04141,2
244,H8NH01210,102
245,S0CO00211,1
246,S0KS00349,1
247,H0CA50145,2
248,H0WA03187,52
249,H4NJ09095,41
250,H8CA05035,30846
251,S2WI00219,138
252,H0KS02188,3
253,H0OH04085,1
254,H2SC07066,6
255,H0NC02133,1
256,H0NC03149,495
