,CAND_ID,avgdonation
0,H6MI12272,300.0
1,H6CA02234,2700.0
2,H0NH02181,305.6628329297821
3,H6AR02245,630.0
4,S6NV00028,1750.7427536231885
5,H6IL06117,688.1768707482993
6,H8UT03089,1607.0944881889764
7,H4NY11138,677.3790322580645
8,H6KY01110,1071.9924812030076
9,S0FL00338,328.2757199933411
10,H6FL01176,460.67241379310343
11,H6SC07018,538.1578947368421
12,H0AL05163,901.1206896551724
13,H6AS00031,1331.4583333333333
14,S4GA11277,796.875
15,H4SC01271,600.0
16,H8VA01147,649.789029535865
17,H6TX15162,1212.7428571428572
18,S4SD00056,250.0
19,S6FL00343,2354.344827586207
20,H8CA34068,671.7555555555556
21,H0FL20070,1903.0
22,H6FL27015,500.0
23,H6PR00082,984.2544731610338
24,H2OH17109,1151.7593984962407
25,H2TX31044,877.8840579710145
26,S0LA00071,640.1130434782609
27,H2TN07103,1150.3976608187133
28,S2ME00109,1100.0
29,H0CA03078,225.22272727272727
30,H6TX17093,450.7755102040816
31,H6TX32043,2066.6666666666665
32,H6FL06191,2700.0
33,S4SD00049,2292.3076923076924
34,H0MN04049,805.7878787878788
35,H8CA12098,1185.4102564102564
36,H2CT01189,1550.0
37,H6FL18113,1392.0615384615385
38,S6MD03474,213.41044776119404
39,S8IN00049,792.1242955541641
40,H6GA03105,250.0
41,S0AR00036,2700.0
42,H6WI01176,2000.0
43,H2CA33048,1141.1444444444444
44,H2OK01143,584.9495798319327
45,H2CA20094,883.3701492537314
46,S2TN00058,2380.0
47,H4FL11071,255.30769230769232
48,S6PA00217,1280.4938271604938
49,H4TX22163,425.0
50,H4CA11081,505.97472924187724
51,H0CA10073,463.18725099601596
52,S2VA00142,1559.8971631205675
53,H6OH06152,357.14285714285717
54,H4CA52051,-800.0
55,H4FL02062,2048.6878306878307
56,H4LA05221,770.5078125
57,S8ID00027,1059.559462254395
58,S6AL00302,335.45454545454544
59,H2AZ04143,247.3170731707317
60,H2FL20043,1241.2857142857142
61,H4PA07092,283.40562248995985
62,H6FL07140,628.4439102564103
63,H6NH01230,394.70426065162906
64,H6PA05141,402.0
65,P60021425,14.0
66,H2NV04045,1127.5317577548005
67,H6WA01170,2154.5
68,H6OH08182,574.5670103092783
69,S4LA00107,1908.1216216216217
70,H6TX21228,254.74242424242425
71,H4NY04075,1239.5283582089553
72,S0KY00156,374.79847756410254
73,S6CA00741,2303.5
74,H0DC00058,1056.2388059701493
75,H6IN09168,2700.0
76,S8AK00082,575.9473684210526
77,H8NY07046,843.9832402234637
78,H4NY19115,6200.0
79,H0FL02086,492.70526315789476
80,H4NY20121,12700.0
81,H8NM01257,478.1745602165088
82,S6AL00310,1942.25
83,H2NV00050,424.928125
84,H6CA53054,482.02777777777777
85,H6MD04183,2633.3333333333335
86,H6NY03254,2071.4285714285716
87,H6WV03091,1003.6585365853658
88,H0CA08069,7500.0
89,H6VA06140,500.0
90,H2CA15094,490.2195448460509
91,S4IA00129,626.0
92,H8NY24066,2700.0
93,H6IL08154,25.0
94,S2VT00136,180.0
95,H6LA04138,919.4925925925926
96,H4TX10093,1009.0645879732739
97,H6VA02115,785.3333333333334
98,H4PA15087,905.7063197026023
99,S8MS00055,1122.0070422535211
100,H6PA11073,541.75
101,H2NY06116,900.608552631579
102,H4NJ12149,327.9941291585127
103,H6NY24169,1362.5
104,H6NY13170,350.0
105,H0FL19080,1560.8379888268157
106,H2AZ09035,2475.0
107,H4NY24073,739.8920634920635
108,H2UT04023,124.72427287149657
109,H4VA02052,444.44444444444446
110,H4NY29098,599.7314285714285
111,S6LA00375,1175.375
112,H4MO07131,342.85714285714283
113,S2ND00099,1515.2777777777778
114,S6CA00584,518.7440188568062
115,H2IL20042,684.1206349206349
116,H4NH01219,2446.9767441860463
117,H0DE01017,2700.0
118,P60021102,246.1685393258427
119,H4NC01095,30.0
120,S6IL00334,620.0
121,P80003338,45.0
122,S0IN00095,2120.0535714285716
123,S4PA00121,339.9530322797862
124,H6KS04165,649.4415584415584
125,H6FL01218,2340.0
126,H2CA35100,2076.5789473684213
127,H6CA05195,1153.8
128,H6CA52114,2042.857142857143
129,H6CA14114,750.0
130,H4FL08085,13033.0
131,H2TX10113,800.0
132,H8CA34126,2136.3636363636365
133,S6MD03458,1701.2883435582821
134,H4LA06088,150.0
135,P60005915,772.5972550875532
136,H8NY19058,1316.8650793650793
137,H6NY18203,785.4108527131783
138,H8MD01094,443.91395793499044
139,H0IN04170,1254.4326018808777
140,H6CA44103,378.7573883161512
141,H2CT05172,300.0
142,S6AL00013,1827.5757575757575
143,H0KY06104,806.9270386266095
144,S4NE00140,75268.5
145,H6CA11169,2700.0
146,H4LA05080,408.7647058823529
147,H4NV04017,1127.2659932659933
