,CAND_ID,avgdonation,sumdonation
0,H6MI12272,300.0,600.0
1,H6CA02234,2700.0,2700.0
2,H0NH02181,305.6628329297821,504955.0
3,H6AR02245,630.0,6300.0
4,S6NV00028,1750.7427536231885,483205.0
5,H6IL06117,688.1768707482993,606972.0
6,H8UT03089,1607.0944881889764,204101.0
7,H4NY11138,677.3790322580645,83995.0
8,H6KY01110,1071.9924812030076,142575.0
9,S0FL00338,328.2757199933411,7887809.0
10,H6FL01176,460.67241379310343,26719.0
11,H6SC07018,538.1578947368421,20450.0
12,H0AL05163,901.1206896551724,104530.0
13,H6AS00031,1331.4583333333333,31955.0
14,S4GA11277,796.875,6375.0
15,H4SC01271,600.0,4200.0
16,H8VA01147,649.789029535865,154000.0
17,H6TX15162,1212.7428571428572,127338.0
18,S4SD00056,250.0,250.0
19,S6FL00343,2354.344827586207,341380.0
20,H8CA34068,671.7555555555556,30229.0
21,H0FL20070,1903.0,1903.0
22,H6FL27015,500.0,500.0
23,H6PR00082,984.2544731610338,495080.0
24,H2OH17109,1151.7593984962407,153184.0
25,H2TX31044,877.8840579710145,181722.0
26,S0LA00071,640.1130434782609,73613.0
27,H2TN07103,1150.3976608187133,393436.0
28,S2ME00109,1100.0,15400.0
29,H0CA03078,225.22272727272727,1189176.0
30,H6TX17093,450.7755102040816,22088.0
31,H6TX32043,2066.6666666666665,6200.0
32,H6FL06191,2700.0,59400.0
33,S4SD00049,2292.3076923076924,29800.0
34,H0MN04049,805.7878787878788,132955.0
35,H8CA12098,1185.4102564102564,277386.0
36,H2CT01189,1550.0,3100.0
37,H6FL18113,1392.0615384615385,90484.0
38,S6MD03474,213.41044776119404,28597.0
39,S8IN00049,792.1242955541641,2530045.0
40,H6GA03105,250.0,250.0
41,S0AR00036,2700.0,2700.0
42,H6WI01176,2000.0,4000.0
43,H2CA33048,1141.1444444444444,102703.0
44,H2OK01143,584.9495798319327,69609.0
45,H2CA20094,883.3701492537314,591858.0
46,S2TN00058,2380.0,11900.0
47,H4FL11071,255.30769230769232,6638.0
48,S6PA00217,1280.4938271604938,311160.0
49,H4TX22163,425.0,2550.0
50,H4CA11081,505.97472924187724,280310.0
51,H0CA10073,463.18725099601596,116260.0
52,S2VA00142,1559.8971631205675,439891.0
53,H6OH06152,357.14285714285717,2500.0
54,H4CA52051,-800.0,-2400.0
55,H4FL02062,2048.6878306878307,387202.0
56,H4LA05221,770.5078125,98625.0
57,S8ID00027,1059.559462254395,1024594.0
58,S6AL00302,335.45454545454544,7380.0
59,H2AZ04143,247.3170731707317,10140.0
60,H2FL20043,1241.2857142857142,17378.0
61,H4PA07092,283.40562248995985,70568.0
62,H6FL07140,628.4439102564103,392149.0
63,H6NH01230,394.70426065162906,314974.0
64,H6PA05141,402.0,1608.0
65,P60021425,14.0,28.0
66,H2NV04045,1127.5317577548005,763339.0
67,H6WA01170,2154.5,21545.0
68,H6OH08182,574.5670103092783,55733.0
69,S4LA00107,1908.1216216216217,141201.0
70,H6TX21228,254.74242424242425,16813.0
71,H4NY04075,1239.5283582089553,415242.0
72,S0KY00156,374.79847756410254,935497.0
73,S6CA00741,2303.5,133603.0
74,H0DC00058,1056.2388059701493,70768.0
75,H6IN09168,2700.0,2700.0
76,S8AK00082,575.9473684210526,21886.0
77,H8NY07046,843.9832402234637,302146.0
78,H4NY19115,6200.0,31000.0
79,H0FL02086,492.70526315789476,46807.0
80,H4NY20121,12700.0,12700.0
81,H8NM01257,478.1745602165088,353371.0
82,S6AL00310,1942.25,15538.0
83,H2NV00050,424.928125,679885.0
84,H6CA53054,482.02777777777777,17353.0
85,H6MD04183,2633.3333333333335,7900.0
86,H6NY03254,2071.4285714285716,14500.0
87,H6WV03091,1003.6585365853658,41150.0
88,H0CA08069,7500.0,15000.0
89,H6VA06140,500.0,3500.0
90,H2CA15094,490.2195448460509,366194.0
91,S4IA00129,626.0,31300.0
92,H8NY24066,2700.0,10800.0
93,H6IL08154,25.0,25.0
94,S2VT00136,180.0,900.0
95,H6LA04138,919.4925925925926,248263.0
96,H4TX10093,1009.0645879732739,453070.0
97,H6VA02115,785.3333333333334,4712.0
98,H4PA15087,905.7063197026023,243635.0
99,S8MS00055,1122.0070422535211,159325.0
100,H6PA11073,541.75,21670.0
101,H2NY06116,900.608552631579,273785.0
102,H4NJ12149,327.9941291585127,167605.0
103,H6NY24169,1362.5,10900.0
104,H6NY13170,350.0,1050.0
105,H0FL19080,1560.8379888268157,279390.0
106,H2AZ09035,2475.0,99000.0
107,H4NY24073,739.8920634920635,466132.0
108,H2UT04023,124.72427287149657,1179268.0
