,CAND_ID,numdonat
0,H6MI12272,1
1,H6CA02234,1
2,H0NH02181,294
3,H6AR02245,6
4,S6NV00028,232
5,H6IL06117,353
6,H8UT03089,112
7,H4NY11138,74
8,H6KY01110,96
9,S0FL00338,4212
10,H6FL01176,22
11,H6SC07018,15
12,H0AL05163,100
13,H6AS00031,17
14,S4GA11277,4
15,H4SC01271,3
16,H8VA01147,114
17,H6TX15162,74
18,S6FL00343,130
19,H8CA34068,28
20,H0FL20070,1
21,H6FL27015,1
22,H6PR00082,389
23,H2OH17109,87
24,H2TX31044,132
25,S0LA00071,65
26,H2TN07103,241
27,S2ME00109,12
28,H0CA03078,736
29,H6TX17093,14
30,H6TX32043,3
31,H6FL06191,22
32,S4SD00049,13
33,H0MN04049,81
34,H8CA12098,156
35,H2CT01189,1
36,H6FL18113,38
37,S6MD03474,19
38,S8IN00049,1648
39,S0AR00036,1
40,H6WI01176,2
41,H2CA33048,70
42,H2OK01143,34
43,H2CA20094,389
44,S2TN00058,5
45,H4FL11071,4
46,S6PA00217,177
47,H4TX22163,1
48,H4CA11081,203
49,H0CA10073,81
50,S2VA00142,210
51,H6OH06152,1
52,H4FL02062,163
53,H4LA05221,100
54,S8ID00027,611
55,S6AL00302,5
56,H2AZ04143,10
57,H2FL20043,8
58,H4PA07092,41
59,H6FL07140,269
60,H6NH01230,173
61,H6PA05141,1
62,H2NV04045,505
63,H6WA01170,8
64,H6OH08182,57
65,S4LA00107,55
66,H6TX21228,12
67,H4NY04075,226
68,S0KY00156,611
69,S6CA00741,54
70,H0DC00058,60
71,H6IN09168,1
72,S8AK00082,16
73,H8NY07046,243
74,H4NY19115,5
75,H0FL02086,31
76,H4NY20121,1
77,H8NM01257,244
78,S6AL00310,7
79,H2NV00050,489
80,H6CA53054,10
81,H6MD04183,3
82,H6NY03254,7
83,H6WV03091,17
84,H0CA08069,2
85,H6VA06140,5
86,H2CA15094,219
87,S4IA00129,23
88,H8NY24066,4
89,H6LA04138,161
90,H4TX10093,295
91,H6VA02115,3
92,H4PA15087,178
93,S8MS00055,135
94,H6PA11073,15
95,H2NY06116,254
96,H4NJ12149,103
97,H6NY24169,4
98,H6NY13170,1
99,H0FL19080,138
100,H2AZ09035,37
101,H4NY24073,260
102,H2UT04023,499
103,H4VA02052,3
104,H4NY29098,65
105,S6LA00375,44
106,H4MO07131,2
107,S2ND00099,29
108,S6CA00584,2463
109,H2IL20042,193
110,H4NH01219,42
111,H0DE01017,2
112,P60021102,14
113,S6IL00334,3
114,S0IN00095,96
115,S4PA00121,4647
116,H6KS04165,39
117,H6FL01218,14
118,H2CA35100,225
119,H6CA05195,38
120,H6CA52114,26
121,H6CA14114,1
122,H4FL08085,1
123,H2TX10113,2
124,H8CA34126,9
125,S6MD03458,244
126,P60005915,930
127,H8NY19058,228
128,H6NY18203,61
129,H8MD01094,172
130,H0IN04170,256
131,H6CA44103,395
132,S6AL00013,155
133,H0KY06104,408
134,S4NE00140,6
135,H6CA11169,1
136,H4LA05080,8
137,H4NV04017,195
138,H6CA23206,2
139,H6CO04160,14
140,H6FL02208,84
141,H0OK05130,1
142,H4OH14102,149
143,S6MO00362,4476
144,H6CA46116,108
145,H2FL14160,1
146,H6IN09135,7
147,S6OR00110,933
148,H6OH08315,47
149,S8MS00196,5
150,S4NC00089,2782
151,H6VA05118,485
152,H0FL17068,10
153,H6TN05322,42
154,H0ID01253,62
155,H0MA09027,2
156,H6IL15084,22
157,H6NJ09231,46
158,H6KS01179,62
159,S8ID00092,3
160,H4TX24094,54
161,H4KY01073,1
162,H8CA41139,3
163,H6NY22098,27
164,S8MI00281,204
165,H6NY05051,1
166,H2NJ02037,98
167,H0NH01225,19
168,H4PA13199,83
169,S2WA00189,845
170,H6NY22114,56
171,S6CA00683,10
172,H4NY21079,298
173,H6VT00160,32
174,H6FL18097,407
175,H4IN01012,101
176,H4OH07049,6
177,H4CA31071,145
178,S6CT05108,108
179,H6TN08185,10
180,S2MA00170,69
181,H4NC06052,120
182,H8OH05036,138
183,H6PA02171,171
184,H6GA04129,6
185,H4WA04088,42
186,S6MT00162,52
187,H6NJ07151,49
188,H6NV03063,106
189,H2IL02172,93
190,H6WV01087,5
191,H0WA08046,177
192,S6VT00160,9
193,H0WI08075,13
194,H4IL12060,344
195,H6CA24303,672
196,H6LA03080,10
197,H8MN03077,681
198,H6MD08523,20
199,H4FL08077,8
200,H6VA08237,16
201,S6MO00396,2
202,H6CA41182,44
203,S6MN00267,98
204,H0SC05031,192
205,H6PA08277,613
206,S6FL00459,3
207,H6FL04121,14
208,H6OH08331,1
209,H6MD03292,200
210,H6MO05189,32
211,H6FL01168,2
212,P60006046,279
213,S6AZ00258,1
214,H6MI01226,275
215,H6NE03115,56
216,S6CO00275,2
217,H4SD00049,3
218,H6NY22148,13
219,H2VA06115,117
220,H6WI08163,364
221,H6NC02148,1
222,S4NC00147,2
223,S6AR00132,467
224,H6MN07296,7
225,S6WY00068,36
226,S2IL00119,4
227,H8MA02041,29
228,H6NV03105,2
229,H4IA03115,278
230,H6IN03237,2
231,H4RI01133,18
232,H6TX15154,6
233,H2FL06091,15
234,P60015351,7
235,H4GA08067,13
236,H4KY06130,1
237,H2FL00292,440
238,H4WI06048,137
239,H2CA43245,185
240,H6TX18141,8
241,S0PA00434,464
242,H2HI02110,150
243,H6MI01028,8
244,H6TX15170,5
245,H4MT01041,625
246,H6CA48237,28
247,H0PA06084,1
248,H6CA16135,21
249,S0CO00211,2201
250,H4GA01039,157
251,H2TX03126,240
252,H6CA03117,40
253,H0KS03137,452
254,H8CO06138,515
255,H6LA04112,171
256,H6IA03243,4
257,H6TX32050,10
258,H4NY15071,4
259,H4NJ09095,56
260,H0WA03187,182
261,H6MN02164,2
262,H2TX16185,82
263,H6WA07441,15
264,S2WI00219,81
265,H8CA05035,277
266,H2SC07066,53
267,H6IL10135,105
268,H4WA09061,5
269,H2TX35029,56
270,S6IA00157,3
271,H0PA07082,194
272,H6PR00090,131
273,H6UT02390,28
274,H2TX07036,32
275,H6PA06115,4
276,H8CA42061,139
277,H0SD00054,236
278,H6MD04233,12
279,H2IL13120,212
280,S6AZ00225,1094
281,H2OH02085,134
282,H0MA10082,65
283,H6FL06167,16
284,H4FL26038,341
285,H6MO04224,45
286,S2IN00091,55
287,P60022654,213
288,H6KS03241,110
289,H0IL14080,98
290,H6FL09179,106
291,H8FL16022,15
292,H4LA06120,3
293,H2TX27190,222
294,S6NY00433,1
295,H6ID01250,93
296,H8IN07176,26
297,H0NH01217,229
298,H6GU01016,47
299,H2FL23021,79
300,H6WI07140,12
301,H4CA42086,21
302,H6NJ13191,109
303,H6CO01141,91
304,H4MI11089,120
305,H2CA52089,323
306,P60008059,494
307,H4MA03022,37
308,H0LA01087,140
309,H4PA12043,56
310,S4OK00307,2
311,H2MI05119,104
312,H6AZ05125,4
313,S0ND00093,218
314,H6NC06099,29
315,H8LA04225,85
316,H4UT02239,6
317,S6NH00091,2753
318,S4VT00033,6
319,H0CA15148,575
320,H6IN08244,1
321,H4CA17294,5
322,H6VA07148,71
323,H8CO02137,170
324,S0CA00199,25
325,H2NY17071,134
326,H2NV02395,97
327,H4WA06075,1
328,H4CA10075,423
329,S0CO00229,21
330,H6VA09078,1
331,H2MA04073,267
332,H6NC13095,12
333,H6AZ05083,57
334,H6NY10119,17
335,H6CA46140,35
336,H6NY19169,842
337,H2TX01062,5
338,H2CA08164,49
339,H4NJ02157,21
340,S6PA00274,4
341,H6FL03073,1
342,H4OK05132,89
343,P60022043,1
344,H0CA19173,268
345,H6NJ08118,257
346,H8NJ03073,183
347,H4MN08083,206
348,S6UT00063,106
349,H6MI04113,179
350,H8WA07132,8
351,H6FL13205,314
352,S6CO00259,3
353,H2TX23082,204
354,H6NY24185,6
355,S4OR00172,6
356,H4NY27076,54
357,H6TX15196,4
358,S0IN00061,180
359,H6CA08207,5
360,H6IL06166,50
361,S0OH00133,5210
362,S6KY00120,495
363,H6CO05233,4
364,H4NC10047,290
365,S4GA11285,44
366,H6GA03113,98
367,H6MN01174,133
368,H4AS00069,8
369,H8KY02031,57
370,H0AZ04501,1
371,H8TN02069,9
372,H2MN08111,280
373,S8WA00194,51
374,S4VA00189,1
375,H4UT03211,21
376,H6IN09176,56
377,H6MD03441,96
378,S6IN00225,1
379,H6MD08291,16
380,H4AR04048,111
381,H6LA03106,25
382,H4WA01258,4
383,H6MN02131,589
384,H2CA30143,99
385,S8FL00166,36
386,H6MD04217,26
387,H2CA36439,392
388,H6CO03170,546
389,S6CA00691,613
390,H6IA02161,31
391,H6NC01124,1
392,H2NY15109,46
393,H6NV03071,1
394,H6FL04105,87
395,H0TX27061,149
396,H4LA05247,2
397,H0CA48024,421
398,H6KY03124,81
399,H2IA05072,78
400,S6FL00467,3
401,H4CA23011,40
402,S0IA00028,1410
403,H2MD02160,149
404,S6OH00163,205
405,H6CA21218,184
406,H8CA04152,103
407,S6ND00108,16
408,H2MD06195,334
409,S6WA00321,45
410,H2SC02059,110
411,H6AZ09010,7
412,H8FL25015,330
413,S6SD01091,21
414,H6NC01108,8
415,H8NJ04014,130
416,H2OH03125,79
417,H6NY03262,21
418,H6TN04200,6
419,H6NM02101,76
420,H6IL12099,235
421,S6OK04130,3
422,H6ND01015,23
423,S6AK00201,3
424,H4WA08071,125
425,H0AR03055,97
426,H2MI14111,61
427,H2OK04055,176
428,H6TX08100,633
429,H6FL09161,35
430,H6FL11217,8
431,H4IL11195,4
432,S4NE00090,43
433,H2IN03152,1
434,H6TN03152,31
435,H6NH01297,8
436,H6NC09184,20
437,S6NC00324,1
438,H2CA31125,310
439,H2TN03144,1
440,H6MD08598,6
441,S2CA00286,6
442,S6NV00200,3695
443,H6CO07023,141
444,H8AZ01104,1
445,H6NY03171,91
446,H0IL11052,130
447,H6OR03064,117
448,H6OH09099,8
449,H8ID02064,71
450,H6NY03247,805
451,H8NY21203,70
452,S6FL00426,64
453,H6NE02125,420
454,H6FL18071,34
455,H2AZ09092,7
456,H6CA51066,30
457,H4ME02200,912
458,S0AK00121,777
459,H0IN02190,314
460,S4VA00155,61
461,H4GA11061,65
462,H6NY19029,38
463,H4KS01059,26
464,P00003392,34282
465,H0RI02139,100
466,H2TX29030,76
467,H6OK05251,7
468,H0NY19139,4
469,H6CA07126,329
470,H6OK01185,1
471,H0MO01066,6
472,H0PA04220,349
473,H8TX22107,189
474,H6VA03089,29
475,H6NV04020,123
476,H6DE00198,2
477,H2NY22139,507
478,S6TN00216,16
479,H6MD08457,235
480,H8MP00041,35
481,S2NV00183,81
482,H8NY20056,144
483,H6FL10136,3
484,H6NY01118,124
485,H6MI03172,4
486,H4FL23076,1
487,H8MS03067,217
488,H6NV01232,11
489,H6NC11198,13
490,S0NY00410,77
491,P60009685,98
492,H2FL13139,2
493,S2HI00106,82
494,S6PA00266,7647
495,H6WA08092,4
496,H8NY01148,496
497,H0MS04120,84
498,H2NY10092,93
499,H2GA12121,89
500,S0MO00183,1526
501,S0NH00235,2068
502,H6PA16312,2
503,S0IL00261,1445
504,H6PA02163,5
505,H4NE01064,110
506,H0AZ01259,31
507,H2MO02102,197
508,H4NC12134,5
509,H2OH14064,209
510,S6FL00335,81
511,S0WI00197,5124
512,H6FL18055,118
513,H4MN06087,170
514,H6KS01146,55
515,H4OH10167,2
516,H6OH11160,7
517,H2NM02100,2
518,H4AL06098,205
519,H4TX19136,262
520,H2IA01055,316
521,H6SC01151,2
522,P60012960,2
523,H6VA10209,736
524,H6IL09145,70
525,H6OR05143,81
526,H0NY29054,332
527,H2TN06030,202
528,H6UT01137,48
529,H0MI03126,99
530,H4WA05127,52
531,H0PA06118,1
532,H2UT01094,109
533,H6NC04037,94
534,H2TX23124,600
535,H6TX03168,3
536,S6NV00218,2132
537,H6TX12060,272
538,H4VA07150,1
539,H6WA07458,540
540,H4MI08135,144
541,H0CT05150,18
542,H6CO03139,292
543,H6AK00235,223
544,H4NC01046,60
545,H4ME02234,390
546,H6IL06141,19
547,H4AR02141,595
548,H6LA04146,137
549,H6NY13105,53
550,H6KY06127,124
551,H2FL14152,2
552,H4MD05144,5
553,H6CT05157,37
554,H6LA04153,51
555,H4MN05071,1
556,H6CA32132,12
557,H4HI01134,82
558,H2NV04011,1
559,S0AR00028,1
560,H6TX24149,9
561,H2TX00015,14
562,H6CO06058,782
563,S0WV00090,5
564,H0TN03254,155
565,H6WI07181,21
566,S6IL00300,46
567,H2NC08185,104
568,H6VA01117,60
569,H6MI07223,366
570,H0VA02118,190
571,H6TX29064,5
