,CAND_ID,avgdonation,sumdonation
0,H8NY21302,2700.0,10800.0
1,H0NH02181,396.9342202512934,537052.0
2,H8TX06183,257.3685567010309,299577.0
3,H8NJ07199,1767.6744186046512,76010.0
4,S6NV00028,1723.076923076923,22400.0
5,H6IL06117,748.6088483146067,2132038.0
6,H2CA39136,2564.285714285714,71800.0
7,H8UT03089,2700.0,2700.0
8,H4NY11138,856.8877551020408,83975.0
9,H6KY01110,928.125,66825.0
10,S0FL00338,181.55311355311355,148692.0
11,H8CA07056,870.8192771084338,216834.0
12,H8IA02084,1883.3333333333333,11300.0
13,H0AL05163,869.4273127753304,197360.0
14,H8TX21166,21.0,21.0
15,H8VA01147,602.0095923261391,251038.0
16,H6TX15162,1141.2105263157894,325245.0
17,H6SC07018,248.289156626506,20608.0
18,H8CA34068,932.09375,29827.0
19,H6PR00082,1600.15,32003.0
20,H8CO01154,1788.2222222222222,16094.0
21,H8NH01194,25.0,25.0
22,H8VA11070,166.60393258426967,118622.0
23,H8NJ05136,942.3927125506073,232771.0
24,H2OH17109,1021.4230769230769,318684.0
25,H8CA39232,2063.264705882353,140302.0
26,H2TX31044,1009.091093117409,498491.0
27,H8MI11270,2166.6666666666665,32500.0
28,H8NJ02166,719.2957359009629,522928.0
29,H2TN07103,1570.4464285714287,175890.0
30,S2ME00109,587.8715596330276,1025248.0
31,H0CA03078,271.2428447528187,625486.0
32,H8TX22206,250.0,250.0
33,H8CA41170,301.0975609756098,12345.0
34,S8CA00481,500.0,500.0
35,H8AZ09024,1107.5994475138123,400951.0
36,S4SD00049,1682.7586206896551,48800.0
37,H8DC01034,1000.0,2000.0
38,H8NH01178,2345.0,14070.0
39,H8TX21257,0.0,0.0
40,H8AL05190,280.1848404255319,210699.0
41,H0MN04049,794.3525179856115,110415.0
42,H8CA12098,873.2751842751843,355423.0
43,H8FL06155,2556.0,63900.0
44,H8WA10045,400.0,1200.0
45,S8TN00352,2620.0,825300.0
46,H8TX07124,1553.376811594203,214366.0
47,H8VA08159,635.2352941176471,43196.0
48,S8IN00049,2300.0,4600.0
49,H8TX02166,836.2444444444444,639727.0
50,H2CA33048,891.1764705882352,45450.0
51,H2CA20094,807.6841294298921,524187.0
52,S2TN00058,2100.0,21000.0
53,S6PA00217,285.67423975578254,4866175.0
54,S8PA00346,250.0,250.0
55,H4CA11081,395.4096551724138,286672.0
56,H0CA10073,330.2114285714286,57787.0
57,S8MO00152,33.333333333333336,100.0
58,S2VA00142,218.78537949803447,2894093.0
59,H8NY27176,230.84110606685925,559328.0
60,H8PA05204,314.98192771084337,52287.0
61,H4LA05221,1028.1645569620252,162450.0
62,S8ID00027,1917.4193548387098,59440.0
63,H8NC07101,198.33533588203167,363152.0
64,H2FL20043,868.3269230769231,90306.0
65,H6FL07140,559.8976470588235,475913.0
66,H8MN01253,100.0,1200.0
67,H8WA08213,25.0,50.0
68,H6NH01230,2700.0,37800.0
69,H4NY07102,258.57142857142856,5430.0
70,H8CA36204,1000.0,2000.0
71,H8OH16157,531.439024390244,174312.0
72,H2NV04045,1084.769560557342,1012090.0
73,H8MO06092,567.7142857142857,3974.0
74,S4LA00107,1636.7677725118483,345358.0
75,H4NY04075,763.56,248157.0
76,S0KY00156,1553.5714285714287,43500.0
77,H8IN04124,227.33333333333334,38874.0
78,H8VA09066,361.2170929507174,579031.0
79,H8CT05245,686.8583247156153,664192.0
80,H0DC00058,679.4871794871794,26500.0
81,H8NY07046,2044.1814946619218,574415.0
82,H8TX26124,127.45070422535211,27147.0
83,H4NY19115,5000.0,5000.0
84,H0FL02086,819.4444444444445,29500.0
85,H8MI08102,449.01676237777434,2893015.0
86,H8AR02159,401.85116448326056,1104287.0
87,H2NV00050,2309.3023255813955,99300.0
88,H8NJ08080,390.4,1952.0
89,H6CA53054,19778.5,39557.0
90,H4PA21069,552.0121802679658,906404.0
91,H8PA10147,977.7561983471074,236617.0
92,H8MA02090,2462.75,19702.0
93,H8TX02125,2700.0,27000.0
94,H8TX21190,348.45535909190136,1596274.0
95,H8CA52136,2620.0,13100.0
96,H8CA42228,144.93309859154928,41161.0
