,CAND_ID,numdonat
0,H0NH02181,212
1,H0IA04145,108
2,S0KS00232,49
3,P00013417,1
4,H0VA03124,9
5,H0MN05210,57
6,H4NY11138,17
7,H0TX11198,85
8,H6KY01110,12
9,S0FL00338,141
10,H0GA09170,1
11,H0NY17190,20
12,H0AL05163,26
13,H0PA01309,41
14,H8VA01147,38
15,H0TX32079,18
16,H0NV03116,15
17,H0CA25220,1
18,H6TX15162,39
19,P00013433,4
20,H8CA34068,19
21,H6PR00082,52
22,H0VA09121,2
23,H0NV03132,106
24,H8VA11070,10
25,H0NM02229,121
26,S0MT00173,4779
27,H0NC03172,64
28,H2OH17109,174
29,H0IL03117,1
30,H2TX31044,319
31,H8NJ05136,3
32,H8NJ02166,83
33,H0TX13228,26
34,H2TN07103,68
35,H0CA03078,594
36,H8CA41170,118
37,H0CT02199,46
38,S4SD00049,228
39,H0NY01202,84
40,H0MN04049,31
41,S0WY00160,2
42,H8CA12098,197
43,H0GA07265,5
44,H8TX02166,6175
45,H0NY05070,1
46,S0ID00180,96
47,H0OR02127,26
48,H2CA33048,27
49,H0TX17195,6
50,H2CA20094,843
51,S2TN00058,18
52,S6PA00217,52
53,H4CA11081,307
54,H0CA10073,28
55,H0TX22302,30
56,S2VA00142,43
57,H0KS03244,16
58,H8NY27176,14
59,H0GA07208,25
60,H0CA31129,11
61,S8ID00027,22
62,H0CA18068,31
63,H0CA25113,17
64,H0WI03142,2
65,H6FL07140,95
66,S0NC00327,4
67,H0MI03282,42
68,S8NJ00483,4
69,H0NY17208,12
70,H0MN03132,1
71,H0SC05056,87
72,H2NV04045,1
73,H0IN08213,18
74,H0NY25094,3
75,S4LA00107,456
76,H0TX13137,3
77,H4NY04075,70
78,S0KY00156,51
79,S0NM00116,2
80,H8CT05245,286
81,H8AL02171,15
82,H0DC00058,14
83,H0NJ05174,18
84,H8NY07046,88
85,H0FL02086,2
86,H8MI08102,547
87,H0FL03159,3
88,H0NY11094,1
89,H0MN03124,37
90,H4PA21069,1
91,H8PA10147,35
92,H0VA11127,14
93,H0WI01120,7
94,P40003824,2
95,H0NY16143,43
96,H0OR05104,7
97,H8MA08170,4
98,H0IN05326,60
99,P00006486,5158
100,H2CA15094,706
101,H0VA05160,79
102,S4IA00129,4485
103,H8NM01331,370
104,H4TX10093,588
105,H6LA04138,46
106,H8SC04276,4
107,H0MD01216,2
108,H0GA07299,8
109,H8TX32098,2145
110,H0TX01108,143
111,H0OH12179,414
112,H0NC09187,486
113,H0NJ03203,1
114,S8WV00119,280
115,H8SC04250,23
116,H2NY06116,49
117,H6CA44145,11
118,S0TN00144,179
119,H4NJ12149,16
120,H8IL09190,15
121,H8VA05114,99
122,H0FL04157,37
123,H8FL27086,2
124,S8TX00459,138
125,H0FL23108,4
126,H8CA16065,2
127,H0FL19080,55
128,H2AZ09035,74
129,H4NY24073,153
130,P60017852,30
131,P00012039,25
132,H8PA18199,160
133,H2UT04023,4
134,S2ND00099,27
135,S6CA00584,73
136,P00010298,14945
137,H8IN05188,3
138,P00009191,1
139,P00014209,24
140,S6IL00334,2
141,H0VA10160,21
142,H0CT05192,2
143,S0AL00156,11117
144,H0FL13125,2
145,H0CA16120,51
146,H6CA05195,25
147,H2SD00068,4
148,H0WV03151,3
149,S4PA00121,286
150,H8NY19058,112
151,H8MD01094,100
152,S0NJ00258,11
153,H0UT01171,3
154,H6CA44103,221
155,H0OH04093,408
156,H8KS03155,308
157,H8TN06094,34
158,H0CA53131,6
159,H0KY06104,146
160,H0CA22094,2
161,H0OK05262,4
162,H0CA43108,3869
163,H8CA29100,16
164,H6FL02208,16
165,H8IL14083,143
166,S0TX00324,10
167,H0WA08103,12
168,H6CA46116,49
169,H0FL22050,8
170,H8TX21307,1431
171,S6OR00110,71
172,H0OR02168,160
173,H0AL02152,10
174,H6OH08315,32
175,H0IL14197,6
176,S8MS00196,10
177,H0IL14163,105
178,H0FL17068,2
179,H8CA45130,17215
180,S0CO00567,10
181,H8TX06035,114
182,S4MS00120,1
183,H0IA01174,752
184,H0VA06044,15
185,S8ID00092,115
186,H4TX24094,33
187,H8WI01156,179
188,H0TX24191,8
189,H6NY22098,27
190,S0KY00339,8832
191,H8CA22139,2
192,S0TX00233,158
193,H0VA04064,2
194,S8MI00281,14
195,P00012567,6
196,H8TX07140,1567
197,H8TX22313,1165
198,H8IL16153,20
199,H0NY16135,1
200,H4PA13199,47
201,S8RI00177,1
202,S2WA00189,120
203,H0TX22161,16
204,H4NY21079,812
205,H6VT00160,6
206,H4IN01012,12
207,H6FL18097,209
208,H4GA12051,14
209,H0CA40138,2
210,H0FL21078,32
211,S6ID00104,13
212,H8TX16109,165
213,S0KS00240,57
214,S2MA00170,75
215,H4NC06052,19
216,H0NY24063,153
217,H8OH05036,81
218,S0TN00169,614
219,H8VA06104,59
220,H6PA02171,18
221,H6GA04129,11
222,H0TX21148,4861
223,S6MT00162,33
224,P00015297,1
225,H2IL02172,109
226,H0TX05125,4
227,H0WA08046,38
228,H8CA08120,26
229,H0TX02080,11
230,H8TX25159,1160
231,H8CA10209,431
232,H4IL12060,188
233,H6CA24303,427
234,H8MN03077,2
235,H0MN02134,34
236,H0NC02109,2
237,S6MN00267,12
238,P00006528,1
239,H0IN03230,3
240,H0PA13114,7
241,H6PA08277,215
242,H0FL19122,72
243,H6MD03292,96
244,H0TX06099,277
245,H0KS01198,17
246,S6AZ00258,1
247,H6MI01226,45
248,H8GU01046,1
249,H6NE03115,20
250,H8FL03046,24
251,H0MI08141,21
252,H0NY02192,272
253,H0TN07255,10
254,H0CA08127,1
255,S8ND00120,2
256,H8ND00096,18
257,S6WY00068,36
258,H0GA07323,23
259,H0WI05113,26
260,H0IL14213,10
261,H8NY02104,2
262,H0NC11233,89
263,S8MN00586,1
264,H8FL08102,2
265,S8VA00297,2
266,H8MA02041,55
267,H8MO08098,5
268,H8NY24090,338
269,H4IA03115,387
270,H8FL06122,43
271,H0OH01081,29
272,H8MN01279,176
273,H0GA07257,22
274,H0GA01060,1
275,H0MD07106,16
276,H0IL15129,76
277,H0MI03274,2
278,H4WI06048,62
279,H0NY22083,7
280,H2CA43245,332
281,H0NC07124,1
282,H8CA39240,1809
283,H0FL26036,78
284,H0TN01134,3
285,H0UT01163,1
286,H0NJ02197,1
287,H8NH01210,184
288,H8CO02269,2
289,H0IL17083,423
290,H6WA04141,3
291,H4GA01039,113
292,H0TX22245,1
293,H2TX03126,13
294,H0NJ07279,36
295,H0KS03137,1
296,H0NY27108,45
297,H0GA12059,5
298,H0NY19196,3
299,H0IN01168,2
300,S0CO00211,5
301,H0OR02135,7
302,S0KS00349,19
303,H0PA08221,144
304,H0OR05096,5
305,H4NJ09095,65
306,H0WA03187,236
307,H0TX22153,4
308,S2WI00219,192
309,H8CA05035,30871
310,H0CA50145,19
311,H0MI02201,10
312,H2SC07066,31
313,H0OH04085,1
314,H0KS02188,30
315,S0IL00527,1
316,H0NC03149,596
317,S0GA00617,2
318,H0NC02133,1
319,H0TX16122,1
320,H8CO03192,72
321,H8AZ01237,40
322,H8IN04140,11
323,S4NJ00250,2
324,H0CA50111,10
325,H8IA01094,659
326,H2IL13120,530
327,H0NY10146,5
328,H2OH02085,187
329,H0MA10082,4
330,H0GA06168,32
331,H0PA10128,2
332,H4MT01033,16
333,H4FL26038,10
334,H8FL15230,54
335,S2IN00091,5
336,H8KS02199,28
337,H0KS01222,3
338,H0PA08205,3
339,H0IL14080,4
340,H0FL15104,6
341,H6FL09179,8
342,H0CA04175,916
343,H8AL04086,14
344,H0MI07150,47
345,H0NM03110,94
346,H2TX27190,14
347,H0VA10186,76
348,S0IA00200,26
349,H0MA08037,28
350,H0CA52083,10
351,H0NY03083,7
352,H2FL23021,10
353,H0MA04184,24
354,H0IN05250,12
355,H0CA50178,980
356,H6NJ13191,8
357,H6CO01141,32
358,H0TX24175,9
359,H8MA07032,71
360,H8GA13027,10
361,H2CA52089,553
362,S0AR00218,15
363,S0WV00215,280
364,H0SC02061,484
365,H0OR04099,15
366,H4MA03022,23
367,H0LA01087,1942
368,S8TN00311,181
369,H0WA01124,1
370,H4PA12043,3
371,P00014407,177
372,H8IL15072,3
373,H0OH01099,746
374,H2MI05119,12
375,H6AZ05125,1
376,S0ND00093,20
377,H8MD06168,28
378,S4VT00033,5
379,H6FL22081,3
380,S6NH00091,228
381,H8TX23147,2
382,H8GA08118,4
383,H8LA03037,1
384,H0MA08045,11
385,H8CA50098,8084
386,H8MA03171,8
387,H0CA37167,6
388,H6MN07304,5
389,S0CA00199,1
390,H2NY17071,213
391,H2NV02395,36
392,H0PA01325,306
393,H0KY03259,1
394,H0CA25147,1
395,H8NY19181,801
396,H8CA01257,2922
397,H6AZ05083,31
398,H2CA08164,11
399,H0WI01104,1
400,H0PA08239,1
401,H8MN07102,1
402,H0TX31147,1
403,H0AZ01408,2
404,P00015941,18
405,P60022043,1
406,H0CT05234,2
407,H8VA02111,556
408,H6NJ08118,55
409,H0FL01153,2
410,H8NJ03073,73
411,S6UT00063,12
412,H6MI04113,61
413,S8UT00176,4
414,H6FL13205,210
415,H0NY14247,19
416,H0NY10112,3
417,H0TX12261,1
418,H0NY02234,18
419,H2TX23082,94
420,H4NY27076,13
421,H0TX11230,230
422,H0GA14030,4
423,H0VA07109,12
424,H0WV02179,131
425,H0FL05170,1
426,H4NC10047,53
427,S0OH00133,322
428,S4GA11285,1363
429,H4CA45089,644
430,H6GA03113,116
431,H0OH07146,1
432,H0NY11078,215
433,P00009795,905
434,H8KY02031,8
435,H8CA10126,3794
436,H0CO05145,1
437,S8WA00194,4
438,H0CO06119,78
439,H8NY19215,3
440,H0CA03144,7
441,H6IN09176,6
442,H8KS04112,75
443,H0KS03236,82
444,H8NY23183,215
445,H4AR04048,97
446,H0TX24159,37
447,H0NM03227,2
448,H6MN02131,216
449,H0NM03185,23
450,H0NY27116,10
451,H2CA36439,1812
452,H0IL16184,6
453,H8MD01177,3
454,P00009910,473
455,H0NY02200,13
456,P00013524,1293
457,H0PA11183,7
458,H0CA08101,1000
459,S0KY00396,44
460,H0NC10193,3
461,H0FL07143,20
462,H0FL27026,1
463,H0TX32087,744
464,H6FL04105,36
465,H8IN06129,274
466,S0NM00066,50
467,H0IN07256,16
468,P00011999,267
469,H4NY18109,5
470,H8AK00140,246
471,H0KS03228,40
472,H6KY03124,5
473,H8CO02160,83
474,H0VA05145,380
475,P00011866,352
476,H2IA05072,10
477,H0NJ02171,49
478,H4CA23011,68
479,H0DC01015,8
480,H0IL04081,1
481,H8NJ02232,6
482,H2MD02160,39
483,S6OH00163,53
484,S8TX00285,410
485,H8IL06139,7510
486,S0IA00028,39
487,H0TN01076,4
488,H8CA04152,792
489,P00012716,192
490,H0TX17161,4
491,H0CA34131,47
492,H0MI08166,4
493,H2SC02059,78
494,H8WV03048,1
495,H8SC05158,11
496,P00013185,2
497,H0CA10263,6
498,H0CA25154,330
499,H0NY15293,1
500,P80006117,2626
501,H0IL15194,28
502,H0MI11145,1
503,H0TX13145,1
504,H6IL11133,1
505,H8VA05155,4
506,H8NJ04014,31
507,H8OH16090,11
508,S0KS00257,49
509,H2OH03125,50
510,H8PA15260,12
511,H8NY12145,1
512,P00009621,7200
513,H0MN07109,15
514,H0AR03055,54
515,H2MI14111,15
516,H2OK04055,52
517,H0WA06099,7
518,H0IA02164,3
519,S0KY00321,26
520,H8OH01118,1
521,H0FL19171,12
522,H6TX08100,163
523,H8MT01182,4
524,S0KY00420,490
525,H8FL22061,1
526,H8AL03062,3
527,H0OH11106,1
528,S8MN00636,2
529,H8WV03097,21
530,H0FL19197,6
531,H8ME02185,220
532,H0NV04049,7
533,S4NE00090,272
534,S4IA00152,6
535,S0IL00543,48
536,H0CA53115,202
537,H0NC08254,571
538,H0TX22260,1
539,H8FL27193,225
540,H8CO06294,2
541,H2CA31125,1604
542,H0OH02139,88
543,H0TX28069,9
544,S0CO00500,209
545,H0MN04197,2
546,H0VA08198,4
547,H0CA25105,625
548,H6CO07023,22
549,H8NC08109,68
550,S6NV00200,144
551,H0OR04107,882
552,H0TN01084,13
553,H0IL11052,151
554,H6OR03064,124
555,H8AZ01104,69
556,H8NC13067,437
557,H0TX35015,48
558,H8OH16108,94
559,H8ID02064,18
560,H0NV04080,3
561,H0VA07158,39
562,H6NY03247,133
563,H8NY21203,62
564,H8IN04199,3
565,H8TX14120,152
566,H6NE02125,394
567,H8FL27037,44
568,H0FL07184,4
569,H8CA49058,1722
570,H8GA06393,1324
571,S0WY00137,36
572,S0TX00258,114
573,H0IN02190,68
574,H0GA07224,44
575,H0KY02095,7
576,H4GA11061,15
577,H8VA10106,402
578,S8WV00143,8
579,H8FL17053,14
580,H8WI06098,1
581,H0RI02139,46
582,H0VA10194,34
583,S8NM00200,4
584,S0NH00326,49
585,H8NH02275,7
586,H0NY01186,163
587,H8MN08068,4
588,H0MO01066,7
589,H0PA08197,2
