,CAND_ID,numdonat
0,H6MI12272,2
1,H6CA02234,1
2,H0NH02181,1652
3,H6AR02245,10
4,S6NV00028,276
5,H6IL06117,882
6,H8UT03089,127
7,H4NY11138,124
8,H6KY01110,133
9,S0FL00338,24028
10,H6FL01176,58
11,H6SC07018,38
12,H0AL05163,116
13,H6AS00031,24
14,S4GA11277,8
15,H4SC01271,7
16,H8VA01147,237
17,H6TX15162,105
18,S4SD00056,1
19,S6FL00343,145
20,H8CA34068,45
21,H0FL20070,1
22,H6FL27015,1
23,H6PR00082,503
24,H2OH17109,133
25,H2TX31044,207
26,S0LA00071,115
27,H2TN07103,342
28,S2ME00109,14
29,H0CA03078,5280
30,H6TX17093,49
31,H6TX32043,3
32,H6FL06191,22
33,S4SD00049,13
34,H0MN04049,165
35,H8CA12098,234
36,H2CT01189,2
37,H6FL18113,65
38,S6MD03474,134
39,S8IN00049,3194
40,H6GA03105,1
41,S0AR00036,1
42,H6WI01176,2
43,H2CA33048,90
44,H2OK01143,119
45,H2CA20094,670
46,S2TN00058,5
47,H4FL11071,26
48,S6PA00217,243
49,H4TX22163,6
50,H4CA11081,554
51,H0CA10073,251
52,S2VA00142,282
53,H6OH06152,7
54,H4CA52051,3
55,H4FL02062,189
56,H4LA05221,128
57,S8ID00027,967
58,S6AL00302,22
59,H2AZ04143,41
60,H2FL20043,14
61,H4PA07092,249
62,H6FL07140,624
63,H6NH01230,798
64,H6PA05141,4
65,P60021425,2
66,H2NV04045,677
67,H6WA01170,10
68,H6OH08182,97
69,S4LA00107,74
70,H6TX21228,66
71,H4NY04075,335
72,S0KY00156,2496
73,S6CA00741,58
74,H0DC00058,67
75,H6IN09168,1
76,S8AK00082,38
77,H8NY07046,358
78,H4NY19115,5
79,H0FL02086,95
80,H4NY20121,1
81,H8NM01257,739
82,S6AL00310,8
83,H2NV00050,1600
84,H6CA53054,36
85,H6MD04183,3
86,H6NY03254,7
87,H6WV03091,41
88,H0CA08069,2
89,H6VA06140,7
90,H2CA15094,747
91,S4IA00129,50
92,H8NY24066,4
93,H6IL08154,1
94,S2VT00136,5
95,H6LA04138,270
96,H4TX10093,449
97,H6VA02115,6
98,H4PA15087,269
99,S8MS00055,142
100,H6PA11073,40
101,H2NY06116,304
102,H4NJ12149,511
103,H6NY24169,8
104,H6NY13170,3
105,H0FL19080,179
106,H2AZ09035,40
107,H4NY24073,630
108,H2UT04023,9455
109,H4VA02052,9
110,H4NY29098,175
111,S6LA00375,72
112,H4MO07131,7
113,S2ND00099,36
114,S6CA00584,8485
115,H2IL20042,315
116,H4NH01219,43
117,H0DE01017,2
118,P60021102,89
119,H4NC01095,1
120,S6IL00334,5
121,P80003338,1
122,S0IN00095,112
123,S4PA00121,23761
124,H6KS04165,77
125,H6FL01218,15
126,H2CA35100,247
127,H6CA05195,50
128,H6CA52114,28
129,H6CA14114,1
130,H4FL08085,1
131,H2TX10113,2
132,H8CA34126,11
133,S6MD03458,326
134,H4LA06088,1
135,P60005915,2113
136,H8NY19058,252
137,H6NY18203,129
138,H8MD01094,523
139,H0IN04170,319
140,H6CA44103,1455
141,H2CT05172,1
142,S6AL00013,165
143,H0KY06104,699
144,S4NE00140,6
145,H6CA11169,1
146,H4LA05080,17
147,H4NV04017,297
148,H6CA23206,13
149,H6CO04160,135
150,H6FL02208,132
151,H0OK05130,1
152,H4OH14102,350
153,S6MO00362,34999
154,H6CA46116,189
155,H2FL14160,1
156,H6IN09135,8
157,S6OR00110,2297
158,H6OH08315,67
159,S8MS00196,5
160,S4NC00089,4679
161,H6VA05118,1429
162,H0FL17068,12
163,H6TN05322,57
164,H0ID01253,125
165,H0MA09027,2
166,H6IL15084,24
167,H6NJ09231,55
168,H6KS01179,147
169,S8ID00092,4
170,H4TX24094,60
171,H4KY01073,6
172,H8CA41139,3
173,H6NY22098,27
174,S8MI00281,221
175,H6NY05051,1
176,H2NJ02037,195
177,H0NH01225,19
178,H4PA13199,114
179,S2WA00189,3532
180,H6NY22114,56
181,P60021243,13
182,S6CA00683,24
183,H4NY21079,631
184,H6VT00160,70
185,H6FL18097,1992
186,H4IN01012,114
187,H4OH07049,27
188,H4CA31071,385
189,S6CT05108,202
190,H6TN08185,10
191,S6ID00104,8
192,S2MA00170,166
193,H4NC06052,210
194,H8OH05036,310
195,H6PA02171,499
196,H6GA04129,10
197,H4WA04088,69
198,S6MT00162,69
199,H6NJ07151,224
200,H6NV03063,123
201,H2IL02172,234
202,H6WV01087,11
203,H0WA08046,937
204,H2CA43385,5
205,S6VT00160,35
206,H0WI08075,16
207,H4IL12060,790
208,H6CA24303,1483
209,H6LA03080,12
210,H8MN03077,1158
211,H6MD08523,30
212,H4FL08077,31
213,H6VA08237,97
214,S6MO00396,2
215,H6CA41182,77
216,S6MN00267,219
217,H0SC05031,294
218,H6PA08277,914
219,S6FL00459,3
220,H6FL04121,14
221,H6OH08331,3
222,H6MD03292,316
223,H6MO05189,58
224,H6FL01168,2
225,P60006046,295
226,S6AZ00258,1
227,H6MI01226,419
228,H6NE03115,90
229,S6CO00275,3
230,H4SD00049,4
231,H6NY22148,15
232,H2VA06115,198
233,H6WI08163,1883
234,H6NC02148,1
235,S4NC00147,3
236,S6AR00132,1327
237,H6MN07296,17
238,S6WY00068,41
239,S2IL00119,4
240,H8MA02041,36
241,H6NV03105,2
242,H4IA03115,536
243,H6IN03237,2
244,H4RI01133,70
245,H6TX15154,8
246,H2FL06091,40
247,P60015351,12
248,H4GA08067,15
249,H4KY06130,1
250,H2FL00292,755
251,H4WI06048,347
252,H2CA43245,676
253,H6TX18141,25
254,S0PA00434,956
255,H2HI02110,220
256,H6MI01028,59
257,H6TX15170,5
258,H4MT01041,8316
259,H6CA48237,100
260,H0PA06084,2
261,H6CA16135,33
262,S0CO00211,10794
263,H4GA01039,290
264,H2TX03126,280
265,H6CA03117,79
266,H0KS03137,551
267,H8CO06138,1640
268,H6LA04112,732
269,H6IA03243,4
270,H6TX32050,10
271,H4NY15071,7
272,H4NJ09095,63
273,H0WA03187,622
274,H6MN02164,2
