,CAND_ID,numdonat
0,H8NY21302,4
1,H0NH02181,330
2,H8TX06183,209
3,H8NJ07199,34
4,S6NV00028,10
5,H6IL06117,1328
6,H2CA39136,28
7,H8UT03089,1
8,H4NY11138,51
9,H6KY01110,49
10,S0FL00338,93
11,H8CA07056,127
12,H8IA02084,4
13,H0AL05163,141
14,H8VA01147,178
15,H6TX15162,219
16,H6SC07018,16
17,H8CA34068,23
18,H6PR00082,15
19,H8CO01154,8
20,H8VA11070,47
21,H8NJ05136,152
22,H2OH17109,164
23,H8CA39232,61
24,H2TX31044,375
25,H8MI11270,15
26,H8NJ02166,359
27,H2TN07103,94
28,S2ME00109,585
29,H0CA03078,430
30,H8CA41170,11
31,S8CA00481,1
32,H8AZ09024,259
33,S4SD00049,26
34,H8DC01034,2
35,H8NH01178,6
36,H8TX21257,1
37,H8AL05190,144
38,H0MN04049,57
39,H8CA12098,266
40,H8FL06155,25
41,H8WA10045,1
42,S8TN00352,311
43,H8TX07124,100
44,H8VA08159,41
45,S8IN00049,2
46,H8TX02166,388
47,H2CA33048,38
48,H2CA20094,355
49,S2TN00058,9
50,S6PA00217,2513
51,H4CA11081,198
52,H0CA10073,39
53,S2VA00142,1715
54,H8NY27176,357
55,H8PA05204,37
56,H4LA05221,114
57,S8ID00027,27
58,H8NC07101,204
59,H2FL20043,52
60,H6FL07140,267
61,H8MN01253,1
62,H6NH01230,14
63,H4NY07102,6
64,H8CA36204,2
65,H8OH16157,115
66,H2NV04045,586
67,H8MO06092,4
68,S4LA00107,161
69,H4NY04075,137
70,S0KY00156,20
71,H8IN04124,22
72,H8VA09066,466
73,H8CT05245,462
74,H0DC00058,18
75,H8NY07046,247
76,H8TX26124,11
77,H4NY19115,1
78,H0FL02086,24
79,H8MI08102,1976
80,H8AR02159,751
81,H2NV00050,41
82,H8NJ08080,2
83,H6CA53054,2
84,H4PA21069,703
85,H8PA10147,176
86,H8MA02090,4
87,H8TX02125,10
88,H8TX21190,1089
89,H8CA52136,5
90,H8CA42228,20
91,H8TX17149,18
92,H8WA05193,1226
93,H8ND00112,240
94,H8HI00012,60
95,H8MA08170,1
96,P00006486,1
97,H2CA15094,443
98,H8NY19256,2
99,H8TX11100,28
100,H8FL15271,842
101,S4IA00129,26
102,H8NM01331,491
103,H4TX10093,285
104,S2VT00136,1
105,H6LA04138,156
106,H8SC04276,4
107,H8TX32098,2028
108,H6VA02115,1
109,H4PA15087,18
110,H8GA12078,83
111,H8NJ11217,546
112,S8MS00055,9
113,H8SC04250,79
114,H8TN01079,30
115,H8NY19199,127
116,H8CA36170,248
117,H2NY06116,216
118,H6CA44145,152
119,H4NJ12149,104
120,H8VA05114,185
121,H8FL27086,439
122,H8CA16065,437
123,H0FL19080,164
124,H2AZ09035,358
125,H4NY24073,254
126,H8OH09111,20
127,H8PA18199,162
128,H2UT04023,647
129,S2ND00099,6328
130,S6CA00584,78
131,H8FL12096,9
132,H8NY27168,7
133,H2IL20042,74
134,H8IN05188,64
135,P80003338,21
136,S8DE00145,67
137,H8IL09224,8
138,S0AL00156,194
139,H6CA05195,30
140,H8NJ01259,5
141,H2SD00068,22
142,H8CA34126,32
143,S4PA00121,68
144,S6MD03458,7
145,P60005915,27
146,H8CA04210,1201
147,H8NY19058,134
148,H6NY18203,1
149,H8MD01094,230
150,H8PA10204,18
151,H6CA44103,150
152,H8KS03155,1531
153,H8TN06094,114
154,H8WI05173,2
155,H0KY06104,1130
156,H6FL02208,91
157,H8TX09146,6
158,S6MO00362,7
159,H8TX36024,348
160,H6CA46116,77
161,H8VA11088,3
162,H8MN02079,2
163,H8TX21307,429
164,H8NY02070,52
165,H8PA05295,118
