,CAND_ID,numdonat
0,H0NH02181,806
1,H4NY11138,20
2,H6CA02234,1
3,H6IL06117,141
4,H6KY01110,18
5,H8UT03089,96
6,S0FL00338,16643
7,S6NV00028,179
8,H0AL05163,7
9,H6AS00031,8
10,H6FL01176,7
11,H6SC07018,7
12,H6TX15162,9
13,H8CA34068,17
14,H8VA01147,3
15,S4GA11277,5
16,S4SD00056,1
17,S6FL00343,16
18,H2OH17109,32
19,H2TX31044,198
20,H6FL27015,1
21,H6PR00082,76
22,S0LA00071,111
23,H0CA03078,703
24,H2TN07103,14
25,H6FL06191,16
26,H6TX17093,2
27,H6TX32043,3
28,S2ME00109,7
29,S4SD00049,13
30,H0MN04049,31
31,H6FL18113,8
32,H8CA12098,21
33,H2CA20094,56
34,H2CA33048,5
35,H2OK01143,69
36,S0AR00036,1
37,S2TN00058,5
38,S6MD03474,126
39,S8IN00049,2171
40,H0CA10073,3
41,H4CA11081,26
42,H4FL02062,31
43,H4FL11071,1
44,H4LA05221,7
45,H6OH06152,2
46,S2VA00142,180
47,S6PA00217,52
48,S8ID00027,592
49,H2AZ04143,7
50,H2FL20043,10
51,H4PA07092,25
52,H6FL07140,301
53,H6NH01230,410
54,H6PA05141,3
55,S6AL00302,2
56,H2NV04045,201
57,H6OH08182,2
58,H6TX21228,16
59,H6WA01170,5
60,S4LA00107,22
61,H0DC00058,28
62,H4NY04075,42
63,H4NY19115,2
64,H6IN09168,1
65,H8NY07046,163
66,S0KY00156,1859
67,S6CA00741,29
68,S8AK00082,9
69,H0FL02086,4
70,H2NV00050,794
71,H6MD04183,3
72,H8NM01257,66
73,H2CA15094,31
74,H6NY03254,2
75,H6VA06140,2
76,H6WV03091,26
77,H4TX10093,67
78,H6LA04138,70
79,H6VA02115,1
80,S2VT00136,5
81,S4IA00129,41
82,H2NY06116,59
83,H4NJ12149,511
84,H4PA15087,46
85,H6PA11073,2
86,S8MS00055,101
87,H0FL19080,40
88,H2AZ09035,20
89,H2UT04023,8798
90,H4NY24073,97
91,H4NY29098,6
92,H4VA02052,2
93,H6NY13170,2
94,H6NY24169,4
95,H0DE01017,2
96,H2IL20042,165
97,H4NH01219,24
98,P60021102,79
99,S2ND00099,35
100,S6CA00584,2136
101,S6LA00375,55
102,H2CA35100,24
103,H6CA05195,9
104,H6FL01218,13
105,H6KS04165,21
106,H8CA34126,3
107,P80003338,1
108,S0IN00095,72
109,S4PA00121,10083
110,S6MD03458,270
111,H0IN04170,95
112,H6CA44103,477
113,H6NY18203,26
114,H8MD01094,174
115,H8NY19058,244
116,P60005915,2042
117,H0KY06104,139
118,H4LA05080,1
119,H4NV04017,67
120,H4OH14102,52
121,H6FL02208,22
122,S6AL00013,139
123,H6CA46116,11
124,H6OH08315,17
125,S6MO00362,17194
126,S6OR00110,1000
127,H0FL17068,1
128,H0ID01253,25
129,H6IL15084,17
130,H6KS01179,26
131,H6TN05322,1
132,H6VA05118,130
133,S4NC00089,1830
134,S8MS00196,5
135,H4TX24094,10
136,H6NY22098,8
137,S8ID00092,4
138,H0NH01225,7
139,H2NJ02037,41
140,H4PA13199,24
141,S8MI00281,113
142,H4CA31071,55
143,H4IN01012,57
144,H4NY21079,197
145,H4OH07049,2
146,H6FL18097,1375
147,H6NY22114,14
148,H6VT00160,39
149,S2WA00189,773
150,S6CT05108,13
151,H2IL02172,26
152,H4NC06052,8
153,H6GA04129,4
154,H6NJ07151,47
155,H6NV03063,4
156,H6PA02171,61
157,H8OH05036,15
158,S2MA00170,166
159,S6MT00162,66
160,H0WA08046,212
161,H0WI08075,2
162,S6VT00160,16
163,H4FL08077,16
164,H4IL12060,60
165,H6CA24303,88
166,H6CA41182,2
167,H6LA03080,2
168,H6MD08523,28
169,H6VA08237,20
170,H8MN03077,237
171,S6MN00267,29
172,H0SC05031,120
173,H6FL01168,2
174,H6FL04121,2
175,H6MD03292,140
176,H6MI01226,137
177,H6MO05189,6
178,H6OH08331,2
179,H6PA08277,105
180,P60006046,261
181,S6AZ00258,1
182,S6FL00459,2
183,H4SD00049,1
184,H6NE03115,36
185,H6NY22148,6
186,S6CO00275,1
187,H2VA06115,32
188,H6MN07296,9
189,H6NC02148,1
190,H6WI08163,611
191,S4NC00147,2
192,S6AR00132,203
193,S6WY00068,35
194,H4IA03115,137
195,H6NV03105,2
196,H8MA02041,21
197,H2FL06091,4
198,H4GA08067,3
199,H4KY06130,1
200,H4RI01133,22
201,P60015351,12
202,H2CA43245,117
203,H2FL00292,345
204,H2HI02110,54
205,H4WI06048,12
206,H6MI01028,38
207,H6TX18141,1
208,S0PA00434,352
209,H4MT01041,7729
210,H6CA48237,8
211,H0KS03137,157
212,H2TX03126,72
213,H4GA01039,73
214,H4NY15071,2
215,H6CA03117,5
216,H6IA03243,2
217,H6LA04112,688
218,H8CO06138,98
219,S0CO00211,4530
220,H0WA03187,49
221,H2TX16185,56
222,H4NJ09095,40
223,H6WA07441,9
224,H8CA05035,6557
225,S2WI00219,36
226,H2SC07066,23
227,H2TX35029,2
228,H6IL10135,17
229,H0PA07082,58
230,H0SD00054,134
231,H2TX07036,15
232,H6PR00090,10
233,H6UT02390,9
234,H8CA42061,29
235,H0MA10082,13
236,H2IL13120,66
237,H2OH02085,36
238,S6AZ00225,6651
239,H0IL14080,20
240,H4FL26038,162
241,H6KS03241,116
242,H6MO04224,52
243,P60022654,1200
244,S2IN00091,26
245,H4LA06120,44
246,H6FL09179,99
247,H8FL16022,3
248,H0NH01217,114
249,H2TX27190,88
